scenario,n,packet_complete_rate,final_receipt_rate,ambiguous_without_grid_rate,top_resolution
buyer_remorse,1184,1.0,1.0,0.0,"[('buyer_remorse_not_covered', 1184)]"
clean_close,38948,1.0,1.0,0.0,"[('final_receipt', 38948)]"
insured_damaged,1193,1.0,0.0,0.0,"[('carrier_claim', 1193)]"
insured_lost,880,1.0,0.0,0.0,"[('carrier_claim', 880)]"
local_handoff_dispute,215,1.0,0.0,1.0,"[('handoff_dispute', 215)]"
material_misdescription,1593,1.0,0.0,0.0,"[('condition_or_identity_dispute', 1593)]"
porch_theft,838,1.0,0.0,1.0,"[('delivered_not_received_review', 838)]"
route_delay,2955,1.0,0.0,0.0,"[('route_monitoring', 2955)]"
seller_nonship,675,1.0,0.0,0.0,"[('nonshipment_dispute', 675)]"
underinsured_lost,555,0.991,0.0,1.0,"[('underinsurance_gap', 555)]"
uninsured_lost,108,1.0,0.0,1.0,"[('route_risk_dispute', 108)]"
verifier_mismatch,295,1.0,0.0,1.0,"[('verifier_condition_dispute', 295)]"
wrong_card,561,1.0,0.0,0.0,"[('condition_or_identity_dispute', 561)]"
